Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Revenue;Cost of Revenue;Gross Profit;Operating Expenses;Selling, General & Administrative;Research & Development;Depreciation & Amortization;Operating Income (Loss);Non-Operating Income (Loss);Interest Expense, Net;Pretax Income (Loss), Adj.;Abnormal Gains (Losses);Pretax Income (Loss);Income Tax (Expense) Benefit, Net;Income (Loss) from Continuing Operations;Net Extraordinary Gains (Losses);Net Income;Net Income (Common)
RKDA;824887;USD;2023;FY;2023-12-31;2024-03-28;2024-03-28;1236934;1236934;5330000;-3300000;2030000;-15895000;-14508000;-1387000;;-13865000;743000;695000;-13122000;-35000;-13157000;-8000;-13165000;-821000;-13981000;-13981000
RKLB;1801462;USD;2020;FY;2020-12-31;2021-03-24;2023-03-07;209895135;469768797;35160000;-46977000;-11817000;-43135000;-23993000;-19142000;;-54952000;2831000;224000;-52121000;-2417000;-54538000;-467000;-55005000;;-55005000;-55005000
RKLB;1801462;USD;2021;FY;2021-12-31;2022-03-24;2024-02-28;209895135;209895135;62237000;-64130000;-1893000;-100160000;-58395000;-41765000;;-102053000;-7493000;-6128000;-109546000;-15294000;-124840000;7520000;-117320000;;-117320000;-117320000
RKLB;1801462;USD;2022;FY;2022-12-31;2023-03-07;2024-02-28;466214095;466214095;210996000;-192006000;18990000;-154194000;-89026000;-65168000;;-135204000;-11224000;-7799000;-146428000;13482000;-132946000;-2998000;-135944000;;-135944000;-135944000
RKLB;1801462;USD;2023;FY;2023-12-31;2024-02-28;2024-02-28;481768060;481768060;244592000;-193183000;51409000;-229327000;-110273000;-119054000;;-177918000;-1003000;-4248000;-178921000;;-178921000;-3650000;-182571000;;-182571000;-182571000
RKT;11794912;USD;2019;FY;2019-12-31;2020-03-23;2022-03-01;150322273;150322273;3574295000;;;-4164662000;-1590028000;;-74952000;-590367000;;;-590367000;1494807000;904440000;-7310000;897130000;;0;0
RKT;11794912;USD;2020;FY;2020-12-31;2021-03-24;2023-03-01;111926619;116238493;4198914000;;;-6118410000;-2003013000;;-74316000;-1919496000;1884464000;84070000;-35032000;9566689000;9531657000;-132381000;9399276000;;197951000;197951000
RKT;11794912;USD;2021;FY;2021-12-31;2022-03-01;2024-02-27;130578206;1989433567;12914466000;;;-6729565000;-2433001000;;-74713000;6184901000;;;6184901000;;6184901000;-112738000;6072163000;;308210000;308210000
RKT;11794912;USD;2022;FY;2022-12-31;2023-03-01;2024-02-27;120577548;1971620573;5838493000;;;-5096582000;-1851889000;;-94020000;741911000;;;741911000;;741911000;-41978000;699933000;;46421000;46421000
RKT;11794912;USD;2023;FY;2023-12-31;2024-02-27;2024-02-27;128641762;1980523690;3799269000;;;-4202166000;-1539541000;;-110271000;-402897000;;;-402897000;;-402897000;12817000;-390080000;;-15514000;-15514000
RL;331016;USD;2018;FY;2019-03-31;2019-05-16;2021-05-20;80600000;81700000;6313000000;-2427000000;3886000000;-3168300000;-3168300000;;;717700000;20700000;20100000;738400000;-155900000;582500000;-151600000;430900000;;430900000;430900000
RL;331016;USD;2019;FY;2020-03-31;2020-05-27;2022-05-24;75800000;77200000;6159800000;-2506500000;3653300000;-3237500000;-3237500000;;;415800000;9400000;16800000;425200000;-98800000;326400000;57900000;384300000;;384300000;384300000
RL;331016;USD;2020;FY;2021-03-31;2021-05-20;2023-05-25;73500000;73500000;4400800000;-1539400000;2861400000;-2638500000;-2638500000;;;222900000;-31200000;-38800000;191700000;-266500000;-74800000;-46300000;-121100000;;-121100000;-121100000
RL;331016;USD;2021;FY;2022-03-31;2022-05-24;2024-05-23;73000000;74300000;6218500000;-2071000000;4147500000;-3305600000;-3305600000;;;841900000;-43800000;-48500000;798100000;-43500000;754600000;-154500000;600100000;;600100000;600100000
RL;331016;USD;2022;FY;2023-03-31;2023-05-25;2024-05-23;67700000;69000000;6443600000;-2277800000;4165800000;-3408900000;-3408900000;;;756900000;-12300000;-8200000;744600000;-52700000;691900000;-169200000;522700000;;522700000;522700000
RLAY;11795098;USD;2019;FY;2019-12-31;2020-03-24;2022-02-24;4408470;4408470;;;;-84048000;-13742000;-70306000;;-84048000;8743000;8801000;-75305000;;-75305000;;-75305000;;-75305000;-75305000
RLAY;11795098;USD;2020;FY;2020-12-31;2021-03-25;2023-02-23;42619582;42619582;82654000;;;-138450000;-38588000;-99862000;;-55796000;3384000;3400000;-52412000;;-52412000;;-52412000;;-52412000;-230201000
RLAY;11795098;USD;2021;FY;2021-12-31;2022-02-24;2024-02-22;95136719;95136719;3029000;;;-230036000;-57386000;-172650000;;-227007000;826000;830000;-226181000;-137691000;-363872000;;-363872000;;-363872000;-363872000
RLAY;11795098;USD;2022;FY;2022-12-31;2023-02-23;2024-02-22;112233670;112233670;1381000;;;-312333000;-65978000;-246355000;;-310952000;8766000;8786000;-302186000;11677000;-290509000;;-290509000;;-290509000;-290509000
RLAY;11795098;USD;2023;FY;2023-12-31;2024-02-22;2024-02-22;122576527;122576527;25546000;;;-404968000;-74950000;-330018000;;-379422000;31027000;31045000;-348395000;6422000;-341973000;;-341973000;;-341973000;-341973000
RLBY;16682810;USD;2021;FY;2021-12-31;2022-03-31;2023-03-31;300000000;300000000;26246000;-22980000;3266000;-3567000;-3567000;;;-301000;9866000;235000;9565000;-688000;8877000;-984000;7893000;;7893000;7893000
RLBY;16682810;USD;2022;FY;2022-12-31;2023-03-31;2023-03-31;300000000;300000000;25725000;-22231000;3494000;-4400000;-4400000;;;-906000;337000;114000;-569000;;-569000;-170000;-739000;;-739000;-739000
RLGT;7962944;USD;2019;FY;2019-06-30;2019-09-12;2020-09-28;49497007;51082652;890517000;;;-867016000;-28463000;;-15209000;23501000;-2539000;-2973000;20962000;1218000;22180000;-4800000;17380000;;16346000;13731000
RLGT;7962944;USD;2020;FY;2020-06-30;2020-09-28;2021-09-20;49600506;51091799;855197000;;;-835443000;-87227000;;-16571000;19754000;-2581000;-2826000;17173000;-1652000;15521000;-3157000;12364000;;10541000;10541000
RLGT;7962944;USD;2021;FY;2021-06-30;2021-09-20;2023-02-27;49890945;51208295;899812000;-678406000;221406000;-190853000;-79070000;;-16642000;30553000;-2016000;-2531000;28537000;1043000;29580000;-5951000;23629000;;23110000;23110000
RLGT;7962944;USD;2022;FY;2022-06-30;2023-02-27;2023-09-13;49570594;50736582;1459419000;-1275071000;184348000;-124958000;-106242000;;-18716000;59390000;-2280000;-3191000;57110000;1073000;58183000;-12692000;45491000;;44464000;44464000
RLGT;7962944;USD;2023;FY;2023-06-30;2023-09-13;2024-09-12;48188663;49551388;1085486000;-801646000;283840000;-256365000;-233665000;;-22700000;27475000;-958000;-1889000;26517000;1029000;27546000;-6305000;21241000;;20595000;20595000
RLGY;6767659;USD;2019;FY;2019-12-31;2020-02-25;2022-02-25;114200000;114200000;5870000000;-4687000000;1183000000;-803000000;-608000000;;-195000000;380000000;-250000000;-250000000;130000000;-319000000;-189000000;-14000000;-185000000;;-188000000;-188000000
RLGY;6767659;USD;2020;FY;2020-12-31;2021-02-23;2023-02-24;115200000;115200000;6221000000;-5000000000;1221000000;-813000000;-627000000;;-186000000;408000000;-241000000;-246000000;167000000;-758000000;-591000000;104000000;-356000000;;-360000000;-360000000
RLGY;6767659;USD;2021;FY;2021-12-31;2022-02-25;2024-02-20;115200000;115200000;7983000000;-6422000000;1561000000;-908000000;-704000000;;-204000000;653000000;-175000000;-190000000;478000000;-43000000;435000000;-133000000;350000000;;343000000;343000000
RLGY;6767659;USD;2022;FY;2022-12-31;2023-02-24;2024-02-20;113800000;113800000;6908000000;-5792000000;1116000000;-854000000;-640000000;;-214000000;262000000;27000000;-113000000;289000000;-612000000;-323000000;68000000;-283000000;;-287000000;-287000000
RLGY;6767659;USD;2023;FY;2023-12-31;2024-02-20;2024-02-20;110300000;110300000;5636000000;-4811000000;825000000;-833000000;-637000000;;-196000000;-8000000;-151000000;-151000000;-159000000;37000000;-122000000;15000000;-98000000;;-97000000;-97000000
RLH;990923;USD;2019;FY;2019-12-31;2020-02-27;2020-02-27;24931000;24931000;114288000;;;-121891000;-58712000;;-14567000;-7603000;-4996000;-5157000;-12599000;-8121000;-20720000;-253000;-20973000;;-19029000;-19029000
RLJ;16318985;USD;2019;FY;2019-12-31;2020-02-26;2022-02-24;171287086;171388476;1566192000;-463283000;1102909000;-870050000;-45252000;;-211584000;232859000;-83006000;-82575000;149853000;-24225000;125628000;3751000;128226000;;128028000;102727000
RLJ;16318985;USD;2020;FY;2020-12-31;2021-02-26;2023-02-28;164503661;164503661;473087000;-159283000;313804000;-571052000;-41141000;;-194168000;-257248000;-102445000;-95932000;-359693000;2861000;-356832000;-51970000;-408802000;;-404441000;-429556000
RLJ;16318985;USD;2021;FY;2021-12-31;2022-02-24;2024-02-27;163998390;163998390;785664000;-219155000;566509000;-616524000;-47526000;;-187778000;-50015000;-113461000;-105370000;-163476000;-146424000;-309900000;-1188000;-311088000;;-305168000;-330283000
RLJ;16318985;USD;2022;FY;2022-12-31;2023-02-28;2024-02-27;161947807;162292865;1193662000;-340843000;852819000;-731766000;-56330000;;-184875000;121053000;-78643000;-88596000;42410000;1323000;43733000;-1518000;42215000;;41925000;16810000
RLJ;16318985;USD;2023;FY;2023-12-31;2024-02-27;2024-02-27;155928663;156556414;1325577000;-386765000;938812000;-786232000;-58998000;;-179103000;152580000;-74281000;-79064000;78299000;-426000;77873000;-1256000;76617000;;76405000;51290000
RLMD;11034007;USD;2019;FY;2019-06-30;2019-09-24;2021-03-24;1577942;1577942;;;;-8271605;-4757999;-3513606;;-8271605;75063;75063;-8196542;;-8196542;;-8196542;;-8196542;-8196542
RLMD;11034007;USD;2020;FY;2020-06-30;2020-08-12;2021-08-10;1577942;1577942;;;;-12757202;-7433249;-5323953;;-12757202;404004;404004;-12353198;1234757;-11118441;;-11118441;;-11118441;-11118441
RLMD;11034007;USD;2021;FY;2021-06-30;2021-09-21;2022-08-11;29628664;1577942;;;;-26461880;-9130373;-17331507;;-26461880;322807;;-26139073;-412871;-26551944;;-26551944;;-26551944;-26551944
RLMD;11034007;USD;2022;FY;2022-06-30;2022-09-22;2023-08-08;29628664;1577942;;;;-45512072;-14599401;-30912671;;-45512072;387333;;-45124739;5189771;-39934968;;-39934968;;-39934968;-39934968
RLMD;11034007;USD;2023;FY;2023-06-30;2023-09-20;2023-08-08;30099203;1577942;;;;-26026726;-12286521;-13740205;;-26026726;1363406;;-24663320;-639634;-25302954;;-25302954;;-25302954;-25302954
RLYB;1841445;USD;2020;FY;2020-12-31;2021-03-15;2022-03-15;30777797;30777797;;;;-25303000;-7673000;-17630000;;-25303000;363000;122000;-24940000;-1522000;-26462000;15000;-26447000;;-26447000;-26447000
RLYB;1841445;USD;2021;FY;2021-12-31;2022-03-15;2023-03-06;30777797;30777797;;;;-45648000;-18739000;-26909000;;-45648000;140000;44000;-45508000;-1505000;-47013000;;-47013000;;-47013000;-47013000
RLYB;1841445;USD;2022;FY;2022-12-31;2023-03-06;2024-03-12;31821311;31821311;;;;-67884000;-27195000;-40689000;;-67884000;2305000;1963000;-65579000;-1075000;-66654000;;-66654000;;-66654000;-66654000
RLYB;1841445;USD;2023;FY;2023-12-31;2024-03-12;2024-03-12;40447388;40447388;;;;-78932000;-25388000;-53544000;;-78932000;6409000;6147000;-72523000;-2041000;-74564000;;-74564000;;-74564000;-74564000
RM;9075812;USD;2019;FY;2019-12-31;2020-03-16;2022-03-04;11401000;11773000;355713000;;;-256595000;-102206000;;;99118000;-40125000;-40125000;58993000;;58993000;-14261000;44732000;;44732000;44732000
RM;9075812;USD;2020;FY;2020-12-31;2021-02-25;2023-02-24;10930000;11145000;373906000;;;-300126000;-119917000;;;73780000;-37852000;-37852000;35928000;;35928000;-9198000;26730000;;26730000;26730000
RM;9075812;USD;2021;FY;2021-12-31;2022-03-04;2023-02-24;10034000;10643000;428351000;;;-284529000;-134238000;;;143822000;-31349000;-31349000;112473000;;112473000;-23786000;88687000;;88687000;88687000
RM;9075812;USD;2022;FY;2022-12-31;2023-02-24;2023-02-24;10034000;10643000;507187000;;;-407643000;-156621000;;;99544000;-34223000;-34223000;65321000;;65321000;-14097000;51224000;;51224000;51224000
RMAX;7962752;USD;2019;FY;2019-12-31;2020-02-21;2022-02-23;17812065;17867752;282293000;;;-213323000;-119232000;;-21792000;68970000;-10674000;-10783000;58296000;;58296000;-10982000;47314000;;25280000;25280000
RMAX;7962752;USD;2020;FY;2020-12-31;2021-02-25;2023-02-28;18170348;18324246;266001000;;;-219506000;-128998000;;-26106000;46495000;-8885000;-8883000;37610000;-7902000;29708000;-9162000;20546000;;11250000;11250000
RMAX;7962752;USD;2021;FY;2021-12-31;2022-02-23;2024-02-22;18690442;18690442;329701000;;;-293215000;-179491000;;-31333000;36486000;-11966000;-11127000;24520000;-46681000;-22161000;-2459000;-24620000;;-15616000;-15616000
RMAX;7962752;USD;2022;FY;2022-12-31;2023-02-28;2024-02-22;18678774;18844696;353386000;;;-300068000;-173980000;;-35769000;53318000;-20084000;-19443000;33234000;-15106000;18128000;-7371000;10757000;;6110000;6110000
RMAX;7962752;USD;2023;FY;2023-12-31;2024-02-22;2024-02-22;18111409;18111409;325671000;;;-287823000;-171548000;;-32414000;37848000;-30902000;-31321000;6946000;-48485000;-41539000;-56947000;-98486000;;-69022000;-69022000
RMBL;647388;USD;2019;FY;2019-12-31;2020-05-29;2021-03-31;1114714;1114714;840629347;-790011371;50617976;-88410675;-86624249;;-1786426;-37792699;-7187604;-7187604;-44980303;-196750;-45177053;;-45177053;;-45177053;-45177053
RMBL;647388;USD;2020;FY;2020-12-31;2021-03-31;2022-04-08;2184441;2184441;416427000;-373062000;43365000;-50187000;-53659000;;-2143000;-6822000;-6450000;-6450000;-13272000;-11727000;-24999000;;-24999000;;-24999000;-24999000
RMBL;647388;USD;2021;FY;2021-12-31;2022-04-08;2023-03-16;2184441;2184441;924171000;-765994000;158177000;-167045000;-164077000;;-6103000;-8868000;-16405000;-16405000;-25273000;-6117000;-31390000;21665000;-9725000;;-9725000;-9725000
RMBS;1305201;USD;2019;FY;2019-12-31;2020-02-26;2022-02-28;110948000;110948000;227603000;-51375000;176228000;-260109000;-100551000;-156815000;-2743000;-83881000;17593000;-9852000;-66288000;-16260000;-82548000;-3416000;-85964000;;-85964000;-85964000
RMBS;1305201;USD;2020;FY;2020-12-31;2021-02-26;2023-02-24;112706000;112706000;246322000;-60748000;185574000;-227339000;-86441000;-139837000;-1061000;-41765000;7515000;-10340000;-34250000;-2289000;-36539000;-3932000;-40471000;;-40471000;-40471000
RMBS;1305201;USD;2021;FY;2021-12-31;2022-02-28;2024-02-23;109161000;114534000;328304000;-70394000;257910000;-227961000;-91057000;-135678000;-1226000;29949000;-995000;-10706000;28954000;-5668000;23286000;-4952000;18334000;;18334000;18334000
RMBS;1305201;USD;2022;FY;2022-12-31;2023-02-24;2024-02-23;109472000;109472000;454793000;-107579000;347214000;-267161000;-106718000;-158769000;-1674000;80053000;5897000;-1874000;85950000;-93775000;-7825000;-6485000;-14310000;;-14310000;-14310000
RMBS;1305201;USD;2023;FY;2023-12-31;2024-02-23;2024-02-23;108183000;110889000;461117000;-103422000;357695000;-266193000;-108149000;-156827000;-1217000;91502000;9837000;-1490000;101339000;85821000;187160000;146744000;333904000;;333904000;333904000
RMCF;515680;USD;2019;FY;2020-02-29;2020-05-29;2022-05-27;5986371;6255343;31849796;-18214896;13634900;-12227890;-7658621;;-895395;1407010;10722;10722;1417732;-15400;1402332;-368500;1033832;;1033832;1033832
RMCF;515680;USD;2020;FY;2021-02-28;2021-06-01;2023-05-30;6067461;6067461;21763181;-15798557;5964624;-8636557;-6561268;;-152921;-2671933;-76915;-76915;-2748848;1593631;-1155217;745495;-409722;-490055;-899777;-899777
RMD;129653;USD;2019;FY;2019-06-30;2019-08-08;2021-08-17;143111000;144484000;2606572000;-1112501000;1494071000;-899284000;-645010000;-180651000;-32424000;594787000;-60416000;-33857000;534371000;-15524000;518847000;-114255000;404592000;;404592000;404592000
RMD;129653;USD;2020;FY;2020-06-30;2020-08-13;2022-08-12;144338000;145652000;2957013000;-1239227000;1717786000;-908727000;-676689000;-201946000;-30092000;809059000;-36994000;-39356000;772065000;-38977000;733088000;-111414000;621674000;;621674000;621674000
RMD;129653;USD;2021;FY;2021-06-30;2021-08-17;2024-08-09;145313000;146451000;3196825000;-1357725000;1839100000;-926749000;-670387000;-225284000;-31078000;912351000;-20016000;-23627000;892335000;-8673000;883662000;-409157000;474505000;;474505000;474505000
RMD;129653;USD;2022;FY;2022-06-30;2022-08-12;2024-08-09;146066000;147043000;3578127000;-1553816000;2024311000;-1022161000;-737508000;-253575000;-31078000;1002150000;-39803000;-22312000;962347000;-1864000;960483000;-181046000;779437000;;779437000;779437000
RMD;129653;USD;2023;FY;2023-06-30;2023-08-11;2024-08-09;146765000;147455000;4222993000;-1867331000;2355662000;-1203665000;-874003000;-287642000;-42020000;1151997000;-50434000;-47379000;1101563000;101000;1101664000;-204108000;897556000;;897556000;897556000
RMNI;7962966;USD;2019;FY;2019-12-31;2020-03-16;2022-03-02;66050000;66050000;281052000;-105106000;175946000;-162646000;-154644000;;;13300000;-1893000;-398000;11407000;12716000;24123000;-2714000;21409000;;21409000;21409000
RMNI;7962966;USD;2020;FY;2020-12-31;2021-03-03;2023-03-01;71231000;71231000;326780000;-126211000;200569000;-180456000;-166963000;;;20113000;-335000;-77000;19778000;-3623000;16155000;-4569000;11586000;;11586000;11586000
RMR;7962888;USD;2019;FY;2019-09-30;2019-11-22;2021-11-15;16132000;16143000;713368000;-114529000;598839000;-393303000;-28706000;;-1017000;205536000;9489000;8770000;215025000;-18661000;196364000;-27320000;169044000;;74580000;74580000
RMR;7962888;USD;2020;FY;2020-09-30;2020-11-20;2022-11-14;16194000;31194000;589505000;-121386000;468119000;-395882000;-26514000;;-968000;72237000;5996000;4451000;78233000;-348000;77885000;-11552000;66333000;;28792000;28792000
RMR;7962888;USD;2021;FY;2021-09-30;2021-11-15;2023-11-15;16266000;31282000;607238000;-119644000;487594000;-409993000;-26961000;;-973000;77601000;1203000;760000;78804000;15361000;94165000;-13152000;81013000;;35696000;35696000
RMTI;11034952;USD;2019;FY;2019-12-31;2020-03-17;2021-03-31;503409;503409;61303000;-58464000;2839000;-36934000;-30048000;-6886000;;-34095000;367000;367000;-33728000;-400000;-34128000;;-34128000;;-34128000;-34128000
RMTI;11034952;USD;2020;FY;2020-12-31;2021-03-31;2022-04-08;624910;624910;62197000;-59472000;2725000;-31145000;-24053000;-7092000;;-28420000;-2478000;-1641000;-30898000;8000;-30890000;;-30890000;;-30890000;-30890000
RMTI;11034952;USD;2021;FY;2021-12-31;2022-04-08;2023-03-30;775030;775030;61931000;-64351000;-2420000;-27916000;-21081000;-6835000;;-30336000;-2338000;-2338000;-32674000;;-32674000;;-32674000;;-32674000;-32674000
RNA;1841160;USD;2019;FY;2019-12-31;2020-03-14;2022-03-01;41428000;53069000;2319000;;;-19651000;-5112000;-14539000;;-17332000;-7387000;-7387000;-24719000;-15000;-24734000;;-24734000;;-24734000;-24734000
RNA;1841160;USD;2020;FY;2020-12-31;2021-03-15;2023-02-28;41428000;53069000;6787000;;;-51064000;-13462000;-37602000;;-44277000;-78000;-3000;-44355000;;-44355000;;-44355000;;-44355000;-44355000
RNA;1841160;USD;2021;FY;2021-12-31;2022-03-01;2024-02-28;41428000;41428000;9326000;;;-127377000;-26195000;-101182000;;-118051000;42000;104000;-118009000;;-118009000;;-118009000;;-118009000;-118009000
RNA;1841160;USD;2022;FY;2022-12-31;2023-02-28;2024-02-28;52162000;52162000;9224000;;;-188137000;-37733000;-150404000;;-178913000;4918000;4975000;-173995000;;-173995000;;-173995000;;-173995000;-173995000
RNA;1841160;USD;2023;FY;2023-12-31;2024-02-28;2024-02-28;73012000;73012000;9560000;;;-245158000;-54190000;-190968000;;-235598000;23378000;23972000;-212220000;;-212220000;;-212220000;;-212220000;-212220000
RNG;355550;USD;2019;FY;2019-12-31;2020-02-26;2022-03-01;83130000;83130000;902858000;-231043000;671815000;-717490000;-581127000;-136363000;;-45675000;-11265000;-20512000;-56940000;;-56940000;3333000;-53607000;;-53607000;-53607000
RNG;355550;USD;2020;FY;2020-12-31;2021-02-26;2023-02-23;88684000;88684000;1183657000;-323607000;860050000;-973289000;-783805000;-189484000;;-113239000;31177000;;-82062000;;-82062000;-934000;-82996000;;-82996000;-82996000
RNG;355550;USD;2021;FY;2021-12-31;2022-03-01;2024-02-22;91811000;91811000;1594754000;-448369000;1146385000;-1448171000;-1138432000;-309739000;;-301786000;-71936000;;-373722000;;-373722000;-2528000;-376250000;;-376250000;-376250000
RNG;355550;USD;2022;FY;2022-12-31;2023-02-23;2024-02-22;95239000;95239000;1988330000;-641731000;1346599000;-1712385000;-1350129000;-362256000;;-365786000;-224578000;;-590364000;-283689000;-874053000;-5113000;-879166000;;-879166000;-879166000
RNG;355550;USD;2023;FY;2023-12-31;2024-02-22;2024-02-22;94912000;94912000;2202429000;-664291000;1538138000;-1736949000;-1401098000;-335851000;;-198811000;41966000;;-156845000;;-156845000;-8395000;-165240000;;-165240000;-165240000
RNGR;10656538;USD;2019;FY;2019-12-31;2020-02-28;2021-02-26;8634013;8634013;336900000;-263000000;73900000;-61500000;-26700000;;-34800000;12400000;-5800000;-5800000;6600000;;6600000;-2200000;4400000;;1800000;1800000
RNGR;10656538;USD;2020;FY;2020-12-31;2021-02-26;2022-03-30;8532994;10265970;187800000;-76400000;111400000;-128600000;-93600000;;-35000000;-17200000;-3400000;-3400000;-20600000;2100000;-18500000;;-18500000;;-10300000;-10300000
RNGR;10656538;USD;2021;FY;2021-12-31;2022-03-30;2023-03-13;11860312;13552166;293100000;-263300000;29800000;-71400000;-34600000;;-36800000;-41600000;-5000000;-5000000;-46600000;38300000;-8300000;6200000;-2100000;;8600000;8600000
RNGR;10656538;USD;2022;FY;2022-12-31;2023-03-13;2024-03-05;22969623;23370598;608500000;-503900000;104600000;-84300000;-39900000;;-44400000;20300000;-7300000;-7300000;13000000;3000000;16000000;-900000;15100000;;15100000;15100000
RNGR;10656538;USD;2023;FY;2023-12-31;2024-03-05;2024-03-05;24600151;24991494;636600000;-531700000;104900000;-69400000;-29500000;;-39900000;35500000;-3500000;-3500000;32000000;-1000000;31000000;-7200000;23800000;;23800000;23800000
RNLX;1253387;USD;2019;FY;2019-06-30;2019-10-21;2022-08-01;42561600;42561600;;;;-7053000;-2737000;-4316000;;-7053000;38000;;-7015000;-35286000;-42301000;;-42301000;;-42301000;-42301000
RNLX;1253387;USD;2020;FY;2020-06-30;2020-10-28;2022-10-31;59079522;59079522;;;;-10315000;-5750000;-4565000;;-10315000;471000;;-9844000;;-9844000;;-9844000;;-9844000;-9844000
RNLX;1253387;USD;2021;FY;2021-06-30;2021-10-21;2022-10-31;71484934;71484934;1491000;-858000;633000;-33519000;-23479000;-10040000;;-32886000;-9903000;;-42789000;7453000;-35336000;;-35336000;;-34725000;-34725000
RNLX;1253387;USD;2022;FY;2022-06-30;2022-10-31;2023-09-28;74804712;71484934;2970000;-2096000;874000;-54172000;-39524000;-14648000;;-53298000;9834000;;-43464000;-1787000;-45251000;-25000;-45276000;;-45276000;-45276000
RNLX;1253387;USD;2023;FY;2023-06-30;2023-09-28;2024-09-30;82210050000;82210050000;3403000;-2683000;720000;-42960000;-28662000;-14298000;;-42240000;1005000;;-41235000;-4370000;-45605000;-2000;-45607000;;-45607000;-45607000
RNXT;16682812;USD;2020;FY;2020-12-31;2021-03-30;2022-03-30;2241749;;;;;-3204000;-818000;-2386000;;-3204000;-594000;-587000;-3798000;;-3798000;;-3798000;;-3798000;-3798000
RNXT;16682812;USD;2021;FY;2021-12-31;2022-03-30;2023-03-31;5217000;5217000;;;;-5671000;-2632000;-3039000;;-5671000;-715000;-834000;-6386000;62000;-6324000;;-6324000;;-6324000;-6324000
RNXT;16682812;USD;2022;FY;2022-12-31;2023-03-31;2023-03-31;9051726;9051726;;;;-9950000;-5649000;-4301000;;-9950000;61000;57000;-9889000;;-9889000;;-9889000;;-9889000;-9889000
ROAD;1291788;USD;2019;FY;2019-09-30;2019-12-13;2021-11-29;51421159;51427220;783238000;-665285000;117953000;-62724000;-62724000;;;55229000;-1445000;-1861000;53784000;1909000;55693000;-13909000;43121000;;43121000;43121000
ROAD;1291788;USD;2020;FY;2020-09-30;2020-12-11;2022-11-22;51489211;51636934;785679000;-663467000;122212000;-68597000;-68597000;;;53615000;-2174000;-3113000;51441000;1616000;53057000;-12760000;40297000;;40297000;40297000
ROAD;1291788;USD;2021;FY;2021-09-30;2021-11-29;2023-11-29;51686735;51864403;910739000;-790803000;119936000;-91878000;-91878000;;;28058000;-1575000;-2404000;26483000;2043000;28526000;-8349000;20177000;;20177000;20177000
ROAD;1291788;USD;2022;FY;2022-09-30;2022-11-22;2024-11-25;51773559;51957420;1301674000;-1162372000;139302000;-107562000;-107562000;;;31740000;-7122000;-7701000;24618000;3673000;28291000;-6915000;21376000;;21376000;21376000
ROAD;1291788;USD;2023;FY;2023-09-30;2023-11-29;2024-11-25;51827001;52260206;1563548000;-1367163000;196385000;-126947000;-126947000;;;69438000;-16471000;-17346000;52967000;12437000;65404000;-16403000;49001000;;49001000;49001000
ROC;16532276;USD;2022;FY;2022-12-31;2023-03-21;2024-03-28;11951137;19677507;129556000;-33004000;96552000;-71275000;-51566000;;-19709000;25277000;-861000;-477000;24416000;361000;24777000;-3698000;21079000;;21079000;19890000
ROC;16532276;USD;2023;FY;2023-12-31;2024-03-28;2024-03-28;21421610;25131024;152034000;-35519000;116515000;-88616000;-68264000;;-20352000;27899000;-7462000;-1103000;20437000;-643000;19794000;-5046000;14748000;;14748000;14434000
ROCK;548420;USD;2019;FY;2019-12-31;2020-02-28;2022-02-23;32389000;32722000;898233000;-678336000;219897000;-139085000;-139085000;;;80812000;-2731000;-2323000;78081000;;78081000;-18153000;59928000;5163000;65091000;65091000
ROCK;548420;USD;2020;FY;2020-12-31;2021-02-25;2023-02-22;32664000;32918000;1032578000;-776235000;256343000;-149153000;-149153000;;;107190000;569000;-703000;107759000;;107759000;-24468000;83291000;-18725000;64566000;64566000
ROCR;11819365;USD;2020;FY;2020-12-31;2021-04-15;2022-04-15;3665996;14783000;;;;-975;-975;;;-975;;;-975;;-975;;-975;;-975;-975
ROCR;11819365;USD;2021;FY;2021-12-31;2022-04-15;2023-05-02;3283000;14783000;612241000;-502688000;109553000;-103464000;-50994000;;-52470000;6089000;-50477000;-50477000;-44388000;-57187000;-101575000;;-101575000;-8851000;-110426000;-110426000
ROCR;11819365;USD;2022;FY;2022-12-31;2023-04-28;2023-05-02;3283000;14783000;753856000;-665291000;88565000;-128269000;-69892000;;-58377000;-39704000;-59317000;-59317000;-99021000;-5771000;-104792000;;-104792000;;-36420000;-36420000
ROG;1092274;USD;2019;FY;2019-12-31;2020-02-21;2022-02-22;18573000;18713000;898260000;-583968000;314292000;-201326000;-168682000;-31685000;;112966000;-2142000;-6869000;110824000;-55698000;55126000;-7807000;47319000;;47319000;47319000
ROG;1092274;USD;2020;FY;2020-12-31;2021-02-19;2023-03-01;18681000;18706000;802583000;-510763000;291820000;-211499000;-182283000;-29320000;;80321000;1255000;-7135000;81576000;-13042000;68534000;-18544000;49990000;;49990000;49990000
ROG;1092274;USD;2021;FY;2021-12-31;2022-02-22;2024-02-27;18740000;18874000;932900000;-583800000;349100000;-228300000;-193100000;-29900000;;120800000;9100000;-2500000;129900000;-3600000;126300000;-18200000;108100000;;108100000;108100000
